edad,genero,carrera,materias_inscritas,horas_estudio_semana,asistencia,uso_plataformas,gpa,trabajo,internet
34,F,Derecho,5,13,55.3,Zoom,2.1,1,1
19,F,Mercadotecnia,8,23,66.0,Blackboard,2.67,0,1
33,F,Psicología,7,18,89.5,Zoom,3.21,1,1
24,F,Medicina,8,14,85.7,Google Classroom,2.63,1,1
26,M,Turismo,7,10,71.8,Zoom,1.72,0,1
18,M,Enfermería,8,19,90.2,Google Classroom,3.02,0,1
35,F,Ingeniería en Sistemas,6,22,80.1,Moodle,2.4,1,1
25,M,Contaduría Pública,5,20,70.4,Blackboard,2.32,0,1
23,M,Derecho,7,16,75.3,Google Classroom,2.47,0,1
20,M,Contaduría Pública,4,19,71.2,Blackboard,2.4,0,1
34,M,Medicina,5,18,60.2,Blackboard,2.41,1,1
29,M,Turismo,4,19,96.9,Google Classroom,3.53,0,1
27,M,Turismo,5,9,69.5,Microsoft Teams,1.5,0,1
20,F,Enfermería,5,19,65.5,Zoom,2.06,1,0
20,F,Ingeniería Industrial,8,14,55.1,Google Classroom,1.82,0,1
26,F,Derecho,7,25,38.5,Moodle,1.74,0,1
21,M,Turismo,7,18,88.5,Blackboard,2.55,0,1
25,M,Turismo,5,23,89.9,Canvas,3.05,0,1
19,M,Enfermería,6,15,95.9,Google Classroom,2.78,0,1
33,F,Psicología,6,16,75.8,Zoom,2.3,1,1
19,F,Arquitectura,4,28,73.2,Blackboard,2.75,0,1
32,M,Derecho,4,21,70.4,Microsoft Teams,2.27,0,1
20,F,Contaduría Pública,8,12,71.8,Moodle,2.39,0,1
34,M,Medicina,5,24,94.8,Microsoft Teams,3.46,1,1
33,F,Turismo,4,14,77.6,Canvas,2.48,1,0
23,F,Turismo,4,19,83.7,Google Classroom,2.17,1,1
21,F,Mercadotecnia,5,30,71.4,Blackboard,2.68,1,1
28,F,Psicología,8,7,97.8,Google Classroom,2.33,1,1
33,F,Turismo,4,16,49.4,Zoom,1.5,1,1
29,M,Arquitectura,8,20,59.7,Google Classroom,2.11,1,0
19,F,Mercadotecnia,7,23,83.7,Moodle,2.7,0,0
25,M,Administración de Empresas,8,9,100.0,Canvas,2.73,1,1
33,F,Psicología,6,7,74.6,Microsoft Teams,1.65,1,1
33,F,Medicina,6,25,65.4,Canvas,2.77,1,1
32,F,Ingeniería en Sistemas,8,12,93.0,Blackboard,2.11,1,1
29,F,Derecho,6,12,82.9,Google Classroom,1.95,1,1
35,F,Enfermería,7,28,97.4,Blackboard,3.08,1,0
33,F,Medicina,5,18,58.6,Microsoft Teams,1.99,0,0
20,F,Derecho,6,18,96.2,Blackboard,2.0,1,0
28,M,Mercadotecnia,6,16,54.8,Zoom,1.94,0,1
25,M,Ingeniería Industrial,8,9,73.7,Canvas,2.39,0,1
35,M,Enfermería,7,22,84.2,Microsoft Teams,2.86,0,1
28,M,Comunicación Social,5,20,80.8,Microsoft Teams,2.44,1,1
25,F,Contaduría Pública,8,19,93.9,Microsoft Teams,2.4,0,1
23,M,Administración de Empresas,8,17,50.6,Moodle,1.5,1,1
30,No binario,Psicología,7,15,80.1,Canvas,1.78,1,1
35,M,Turismo,5,24,96.0,Blackboard,2.95,0,1
31,M,Ingeniería Industrial,7,17,78.9,Microsoft Teams,2.97,1,0
32,F,Ingeniería Industrial,5,17,60.9,Canvas,1.5,1,1
21,F,Medicina,7,21,93.1,Microsoft Teams,3.01,1,0
19,F,Administración de Empresas,8,19,68.3,Zoom,2.01,0,1
28,F,Ingeniería en Sistemas,8,29,65.6,Zoom,2.5,1,1
20,F,Derecho,4,5,63.7,Zoom,1.5,0,1
32,M,Derecho,6,20,75.0,Google Classroom,1.98,0,1
23,No binario,Medicina,7,13,80.7,Microsoft Teams,2.23,0,0
29,No binario,Arquitectura,4,11,59.0,Google Classroom,1.75,0,0
26,F,Arquitectura,6,14,62.0,Canvas,2.06,1,1
23,M,Turismo,7,18,67.6,Google Classroom,1.65,0,1
30,F,Comunicación Social,5,18,63.7,Canvas,2.34,0,1
21,M,Contaduría Pública,6,7,78.6,Canvas,2.15,0,1
19,M,Enfermería,8,14,83.4,Canvas,2.42,0,0
27,M,Ingeniería en Sistemas,4,19,81.4,Blackboard,2.35,1,1
27,F,Turismo,6,11,81.4,Google Classroom,2.21,1,1
34,F,Administración de Empresas,6,10,100.0,Blackboard,2.4,1,1
31,F,Arquitectura,8,3,84.4,Microsoft Teams,2.11,1,1
28,F,Comunicación Social,7,13,89.8,Google Classroom,2.26,0,1
25,M,Comunicación Social,5,9,71.8,Microsoft Teams,1.87,1,0
26,M,Medicina,8,11,92.2,Microsoft Teams,1.81,1,1
28,M,Ingeniería en Sistemas,5,16,71.1,Canvas,2.22,1,1
33,No binario,Mercadotecnia,7,13,84.2,Google Classroom,2.04,1,1
22,M,Enfermería,6,9,57.4,Microsoft Teams,1.7,1,1
23,F,Contaduría Pública,5,3,80.5,Zoom,1.98,0,1
30,F,Psicología,4,20,63.4,Microsoft Teams,1.97,1,1
29,M,Medicina,4,23,92.0,Zoom,2.87,0,1
24,F,Enfermería,8,15,91.1,Google Classroom,2.54,1,1
26,F,Psicología,7,16,71.0,Blackboard,2.24,1,1
25,F,Psicología,8,18,100.0,Google Classroom,3.04,1,1
34,F,Ingeniería en Sistemas,8,29,73.7,Blackboard,2.96,0,1
18,M,Ingeniería en Sistemas,8,7,53.8,Blackboard,1.5,1,1
21,M,Turismo,4,15,66.3,Google Classroom,2.47,0,1
21,F,Administración de Empresas,4,5,62.3,Microsoft Teams,1.69,1,1
22,F,Comunicación Social,8,20,83.7,Moodle,2.98,0,1
35,M,Enfermería,4,16,59.5,Microsoft Teams,2.01,0,1
24,F,Medicina,7,19,69.9,Microsoft Teams,2.36,1,0
32,F,Turismo,8,19,82.7,Canvas,2.46,0,1
29,F,Derecho,4,24,80.1,Canvas,2.54,1,1
17,M,Medicina,5,21,77.8,Microsoft Teams,2.78,0,0
33,F,Administración de Empresas,8,23,79.9,Zoom,2.7,1,1
23,F,Contaduría Pública,8,10,72.4,Blackboard,1.85,1,1
29,M,Ingeniería Industrial,7,26,53.9,Canvas,1.93,0,1
20,M,Ingeniería Industrial,6,12,72.0,Microsoft Teams,2.44,0,1
20,No binario,Comunicación Social,6,13,85.0,Moodle,2.31,1,1
22,M,Ingeniería Industrial,7,19,75.9,Zoom,1.99,0,1
35,F,Ingeniería Industrial,7,20,83.9,Google Classroom,2.59,1,1
28,F,Derecho,7,10,69.2,Microsoft Teams,1.77,1,0
23,M,Arquitectura,6,16,92.9,Microsoft Teams,2.5,0,1
26,F,Contaduría Pública,7,28,39.7,Blackboard,2.21,1,1
35,M,Ingeniería en Sistemas,4,7,80.1,Zoom,1.85,1,1
23,F,Psicología,8,28,98.2,Canvas,3.12,0,1
19,M,Arquitectura,8,16,100.0,Canvas,3.12,1,1
29,F,Medicina,5,3,74.5,Canvas,1.5,0,1
29,M,Medicina,5,8,58.1,Google Classroom,1.5,1,1
34,M,Ingeniería Industrial,8,11,98.5,Zoom,2.74,1,1
24,F,Ingeniería en Sistemas,4,13,77.2,Zoom,2.31,1,1
25,M,Administración de Empresas,6,17,75.6,Canvas,2.57,1,1
23,F,Enfermería,6,3,64.6,Canvas,2.03,0,1
17,M,Arquitectura,4,19,59.3,Blackboard,2.54,1,1
19,F,Arquitectura,6,10,86.5,Moodle,1.83,1,1
29,M,Mercadotecnia,7,27,88.0,Moodle,2.48,0,1
33,F,Contaduría Pública,8,16,81.0,Microsoft Teams,2.43,1,1
17,F,Comunicación Social,8,24,66.5,Microsoft Teams,1.99,0,1
22,M,Contaduría Pública,4,25,62.0,Zoom,1.77,1,1
22,M,Enfermería,6,25,56.5,Zoom,2.34,0,1
28,M,Medicina,5,14,69.6,Google Classroom,2.18,1,1
29,F,Medicina,5,13,62.9,Google Classroom,2.35,0,1
29,M,Medicina,6,16,52.4,Moodle,1.99,0,1
31,F,Mercadotecnia,5,22,87.8,Microsoft Teams,3.31,1,1
32,M,Medicina,4,14,58.2,Moodle,1.89,1,1
27,M,Enfermería,4,17,92.8,Moodle,2.27,0,1
21,F,Turismo,6,19,83.9,Microsoft Teams,2.77,0,1
20,F,Ingeniería en Sistemas,5,11,82.4,Google Classroom,2.54,1,1
19,M,Comunicación Social,4,11,100.0,Blackboard,2.61,1,1
35,M,Enfermería,4,16,58.7,Blackboard,2.32,0,1
34,M,Ingeniería Industrial,7,17,91.1,Blackboard,2.54,1,1
31,F,Turismo,7,21,73.5,Microsoft Teams,2.57,1,1
25,F,Comunicación Social,4,22,100.0,Canvas,2.93,1,1
33,F,Enfermería,6,10,72.3,Canvas,2.6,0,1
30,F,Turismo,8,12,69.9,Canvas,2.18,0,1
31,F,Medicina,8,11,84.4,Zoom,1.84,0,1
17,F,Ingeniería en Sistemas,4,27,74.9,Google Classroom,3.25,1,1
19,F,Arquitectura,4,17,66.6,Google Classroom,1.87,0,1
32,M,Contaduría Pública,4,18,63.4,Zoom,2.07,1,1
27,M,Psicología,6,18,99.9,Moodle,2.94,1,1
28,M,Ingeniería en Sistemas,7,12,60.5,Blackboard,1.91,1,0
26,M,Arquitectura,4,28,81.3,Canvas,3.02,1,0
32,F,Administración de Empresas,4,20,93.8,Blackboard,2.42,0,1
24,F,Enfermería,5,18,94.6,Canvas,2.84,1,1
22,M,Administración de Empresas,6,10,69.0,Blackboard,2.15,0,1
28,M,Arquitectura,4,9,74.9,Moodle,2.22,0,1
24,F,Ingeniería en Sistemas,5,15,72.0,Blackboard,1.72,0,1
20,F,Enfermería,8,13,55.0,Blackboard,1.5,1,1
24,M,Ingeniería Industrial,4,10,86.1,Microsoft Teams,1.85,1,1
34,F,Psicología,4,15,78.6,Blackboard,2.34,0,1
21,M,Medicina,5,16,99.6,Microsoft Teams,2.24,1,1
25,M,Enfermería,6,18,65.7,Google Classroom,1.78,1,0
20,No binario,Ingeniería Industrial,4,14,94.3,Zoom,2.31,0,1
33,F,Enfermería,8,10,95.4,Blackboard,1.81,1,1
25,M,Ingeniería en Sistemas,4,11,78.7,Google Classroom,2.05,0,1
17,F,Ingeniería Industrial,8,26,45.4,Microsoft Teams,1.5,0,1
29,F,Ingeniería en Sistemas,7,9,70.3,Blackboard,1.95,1,1
32,F,Turismo,7,20,100.0,Blackboard,2.77,1,1
29,F,Arquitectura,8,21,82.5,Moodle,2.4,1,1
30,F,Derecho,6,17,88.4,Google Classroom,2.39,1,1
19,F,Enfermería,4,30,76.7,Canvas,2.85,0,1
22,F,Contaduría Pública,4,21,74.6,Canvas,2.6,1,1
34,M,Enfermería,7,30,50.0,Moodle,2.73,1,0
35,M,Arquitectura,8,13,89.9,Microsoft Teams,2.68,1,1
21,M,Comunicación Social,4,13,94.2,Canvas,3.13,1,1
31,F,Administración de Empresas,4,21,63.7,Canvas,2.41,1,1
18,M,Turismo,6,16,75.3,Zoom,2.26,1,1
26,F,Medicina,5,29,73.3,Google Classroom,2.62,0,1
34,F,Ingeniería Industrial,7,20,84.3,Microsoft Teams,2.45,1,1
29,M,Derecho,7,10,69.8,Blackboard,2.0,1,1
21,F,Psicología,5,5,92.0,Google Classroom,1.76,1,1
17,M,Psicología,4,17,79.1,Microsoft Teams,2.41,0,1
17,F,Psicología,6,17,39.8,Canvas,1.55,1,1
34,M,Ingeniería en Sistemas,6,20,84.6,Zoom,2.36,0,1
31,F,Psicología,7,26,92.9,Google Classroom,2.7,1,1
33,F,Medicina,6,25,60.7,Canvas,3.08,0,1
27,F,Turismo,5,13,84.1,Microsoft Teams,1.84,0,1
33,F,Administración de Empresas,4,8,100.0,Google Classroom,2.34,1,0
29,F,Psicología,5,9,79.7,Blackboard,2.36,1,0
17,F,Enfermería,8,12,95.1,Google Classroom,2.59,0,1
18,F,Enfermería,7,15,71.4,Canvas,1.95,0,1
25,F,Ingeniería en Sistemas,6,20,77.7,Google Classroom,2.09,1,1
19,M,Medicina,8,12,74.9,Blackboard,2.07,0,0
17,F,Administración de Empresas,6,19,72.2,Zoom,1.5,1,1
32,F,Derecho,4,20,75.8,Zoom,2.46,1,1
22,F,Arquitectura,4,19,53.5,Canvas,1.92,0,1
33,M,Administración de Empresas,4,10,73.0,Microsoft Teams,2.23,1,1
21,F,Arquitectura,6,21,98.1,Canvas,2.55,1,1
21,M,Comunicación Social,8,32,63.5,Zoom,2.6,0,1
22,F,Arquitectura,4,19,62.0,Moodle,2.22,1,1
19,M,Turismo,8,3,78.9,Moodle,1.77,0,1
21,F,Contaduría Pública,6,26,79.7,Google Classroom,2.35,1,1
21,No binario,Turismo,8,13,83.7,Blackboard,2.06,1,1
26,M,Enfermería,6,33,76.3,Google Classroom,3.41,1,1
26,No binario,Medicina,6,18,79.1,Moodle,2.46,1,0
35,M,Mercadotecnia,7,6,72.7,Zoom,1.5,0,1
33,F,Ingeniería en Sistemas,6,3,58.9,Google Classroom,1.58,0,1
30,F,Contaduría Pública,6,28,76.9,Canvas,2.3,1,1
25,F,Arquitectura,5,25,88.9,Blackboard,2.8,0,1
30,F,Psicología,4,33,85.7,Canvas,3.35,1,1
17,F,Medicina,7,18,51.8,Blackboard,2.2,0,1
35,M,Contaduría Pública,7,17,81.8,Zoom,1.69,0,1
29,M,Ingeniería en Sistemas,7,15,64.6,Google Classroom,2.17,1,0
29,F,Enfermería,5,13,98.9,Blackboard,2.81,1,0
20,F,Medicina,6,15,82.9,Canvas,2.16,0,0
17,F,Ingeniería en Sistemas,4,19,91.4,Google Classroom,2.7,0,1
33,F,Comunicación Social,8,12,78.3,Google Classroom,1.5,1,1
24,M,Comunicación Social,6,6,77.0,Canvas,1.5,0,1
18,F,Turismo,5,19,100.0,Moodle,3.18,0,1
24,M,Turismo,6,11,92.6,Blackboard,2.18,1,1
23,F,Ingeniería en Sistemas,6,3,79.8,Canvas,1.63,1,1
18,M,Contaduría Pública,5,21,75.0,Zoom,2.5,0,1
19,M,Turismo,7,10,52.4,Microsoft Teams,1.5,1,1
34,M,Medicina,7,22,82.9,Canvas,2.5,0,1
28,M,Contaduría Pública,4,22,76.1,Google Classroom,2.62,1,1
17,F,Turismo,4,19,86.3,Google Classroom,2.12,0,1
28,M,Derecho,7,35,90.9,Canvas,3.72,1,1
21,M,Arquitectura,8,17,96.5,Microsoft Teams,2.62,0,1
33,M,Derecho,6,16,83.1,Canvas,2.07,1,1
32,M,Ingeniería Industrial,8,22,62.3,Microsoft Teams,1.88,0,0
31,M,Comunicación Social,6,17,45.8,Microsoft Teams,1.68,1,1
31,M,Enfermería,7,26,65.6,Zoom,2.38,0,0
21,F,Administración de Empresas,4,9,98.0,Blackboard,1.9,0,1
30,F,Arquitectura,4,9,100.0,Google Classroom,2.22,1,1
18,F,Comunicación Social,8,23,74.4,Google Classroom,2.27,0,1
27,F,Contaduría Pública,4,9,56.1,Microsoft Teams,1.9,1,1
35,M,Contaduría Pública,7,22,68.3,Google Classroom,2.38,1,1
23,F,Contaduría Pública,8,20,95.1,Moodle,3.26,1,1
22,F,Enfermería,6,13,69.1,Microsoft Teams,1.75,0,1
18,F,Derecho,4,20,86.8,Google Classroom,2.54,0,1
22,M,Administración de Empresas,5,9,80.5,Moodle,2.13,0,1
34,M,Turismo,4,11,88.7,Zoom,2.44,1,1
18,M,Contaduría Pública,6,16,100.0,Google Classroom,2.93,0,1
34,M,Mercadotecnia,8,18,86.8,Moodle,2.27,1,1
31,F,Ingeniería Industrial,6,15,80.2,Canvas,2.01,0,1
35,F,Arquitectura,5,21,100.0,Blackboard,2.83,1,1
18,F,Medicina,7,20,83.2,Canvas,3.0,0,1
22,F,Turismo,4,28,66.1,Moodle,2.27,0,1
17,F,Mercadotecnia,8,17,88.3,Microsoft Teams,2.36,0,1
31,F,Administración de Empresas,7,26,84.7,Microsoft Teams,3.07,0,1
26,F,Enfermería,6,24,73.4,Google Classroom,2.74,1,1
35,M,Administración de Empresas,8,34,70.2,Canvas,3.08,1,1
33,M,Medicina,7,17,73.5,Microsoft Teams,2.25,1,1
21,M,Arquitectura,8,15,70.0,Microsoft Teams,1.75,0,1
20,F,Medicina,5,26,74.0,Canvas,2.43,0,1
26,F,Ingeniería en Sistemas,5,20,65.4,Zoom,2.53,0,1
33,M,Arquitectura,4,26,83.8,Microsoft Teams,3.06,1,1
26,F,Administración de Empresas,4,23,82.7,Blackboard,2.28,1,1
33,M,Contaduría Pública,5,3,83.2,Moodle,2.06,1,1
21,F,Administración de Empresas,8,20,77.1,Google Classroom,2.82,0,1
18,M,Administración de Empresas,5,20,75.3,Microsoft Teams,2.41,1,1
22,M,Arquitectura,4,18,99.6,Blackboard,2.92,1,0
18,F,Ingeniería Industrial,5,17,79.0,Blackboard,2.64,0,1
29,M,Ingeniería en Sistemas,5,6,97.0,Microsoft Teams,2.0,1,1
27,M,Turismo,8,24,63.1,Zoom,3.03,1,1
27,M,Administración de Empresas,7,20,86.8,Moodle,2.99,1,1
32,F,Mercadotecnia,4,25,67.0,Google Classroom,2.61,0,1
27,F,Comunicación Social,8,7,69.7,Microsoft Teams,1.69,1,1
35,M,Psicología,5,21,71.8,Google Classroom,2.52,0,1
31,F,Psicología,5,16,70.9,Canvas,1.66,1,1
32,F,Administración de Empresas,7,19,71.0,Blackboard,2.89,0,1
27,M,Mercadotecnia,4,16,96.3,Blackboard,2.98,1,1
32,M,Ingeniería Industrial,4,21,78.7,Microsoft Teams,2.95,1,0
24,M,Contaduría Pública,6,16,81.4,Microsoft Teams,2.35,0,1
20,M,Enfermería,4,10,71.1,Canvas,1.76,0,1
24,F,Enfermería,7,18,90.9,Zoom,2.42,1,1
20,M,Arquitectura,6,16,83.3,Microsoft Teams,2.62,0,1
19,F,Psicología,6,17,73.4,Blackboard,2.07,0,0
19,F,Administración de Empresas,5,3,54.2,Google Classroom,1.5,0,1
34,M,Enfermería,5,22,81.2,Moodle,2.77,0,1
35,F,Administración de Empresas,4,15,86.6,Google Classroom,2.2,1,1
35,M,Arquitectura,6,8,63.3,Zoom,1.93,0,1
21,F,Psicología,5,24,73.6,Moodle,2.53,1,1
34,F,Medicina,7,22,86.1,Google Classroom,2.25,1,0
26,F,Ingeniería Industrial,5,15,54.4,Google Classroom,1.55,0,0
22,F,Comunicación Social,5,9,68.3,Canvas,2.16,0,1
17,M,Comunicación Social,6,19,83.7,Zoom,2.24,0,1
21,F,Enfermería,6,18,94.6,Blackboard,2.96,1,1
25,F,Comunicación Social,8,24,100.0,Canvas,3.1,1,1
28,F,Ingeniería Industrial,7,14,100.0,Moodle,2.57,0,1
30,F,Medicina,6,26,80.2,Blackboard,3.51,1,1
18,F,Ingeniería Industrial,4,14,70.7,Canvas,1.65,0,1
33,M,Administración de Empresas,7,8,91.8,Zoom,1.97,1,1
30,M,Arquitectura,7,10,69.8,Microsoft Teams,1.83,1,0
29,F,Turismo,6,17,66.6,Microsoft Teams,2.81,1,1
25,M,Medicina,7,17,73.4,Moodle,2.22,1,1
31,F,Turismo,6,20,71.5,Microsoft Teams,2.4,1,1
31,F,Arquitectura,5,17,84.2,Canvas,2.34,1,1
27,M,Arquitectura,8,24,69.0,Moodle,2.55,0,1
32,M,Psicología,5,16,79.3,Blackboard,2.21,1,1
33,F,Turismo,6,4,100.0,Zoom,2.39,0,1
20,M,Administración de Empresas,6,17,79.8,Moodle,2.58,0,1
17,F,Mercadotecnia,5,3,100.0,Blackboard,2.06,0,1
24,M,Comunicación Social,4,19,96.0,Moodle,2.43,0,1
33,F,Turismo,4,25,86.9,Google Classroom,2.88,1,1
19,M,Mercadotecnia,4,11,72.7,Google Classroom,2.36,1,1
31,F,Psicología,6,27,93.6,Moodle,2.82,1,1
31,F,Arquitectura,7,23,74.3,Microsoft Teams,2.61,1,1
30,F,Enfermería,6,26,78.0,Google Classroom,2.35,0,1
30,M,Ingeniería Industrial,7,19,83.0,Zoom,2.19,1,1
18,F,Comunicación Social,5,11,77.9,Blackboard,2.44,0,0
29,F,Comunicación Social,8,23,67.2,Canvas,2.57,1,1
30,M,Administración de Empresas,7,13,55.1,Google Classroom,1.78,0,1
35,M,Ingeniería en Sistemas,4,18,92.4,Moodle,1.95,1,1
23,M,Derecho,6,16,86.6,Microsoft Teams,2.28,1,1
19,F,Derecho,5,25,52.2,Canvas,2.34,0,0
31,F,Derecho,4,23,66.8,Blackboard,1.92,0,1
30,F,Ingeniería en Sistemas,5,17,80.7,Blackboard,2.26,1,1
27,M,Administración de Empresas,8,4,84.6,Google Classroom,2.1,0,1
31,M,Ingeniería en Sistemas,6,13,55.2,Blackboard,1.5,0,0
29,F,Derecho,6,22,76.7,Blackboard,2.01,0,0
34,F,Psicología,8,19,86.1,Microsoft Teams,2.12,1,0
22,No binario,Medicina,6,7,72.7,Microsoft Teams,1.87,0,1
19,M,Turismo,7,5,81.8,Microsoft Teams,1.69,0,1
35,F,Arquitectura,5,19,70.7,Moodle,2.52,1,1
31,M,Ingeniería en Sistemas,4,10,91.6,Blackboard,2.31,1,1
21,M,Administración de Empresas,8,11,66.0,Blackboard,2.37,1,0
26,F,Administración de Empresas,7,22,60.9,Blackboard,1.82,1,1
23,F,Turismo,4,26,78.4,Zoom,2.82,0,0
33,No binario,Mercadotecnia,4,12,56.5,Microsoft Teams,1.5,0,1
23,M,Medicina,8,17,46.4,Canvas,1.86,1,1
28,M,Enfermería,7,17,94.3,Google Classroom,2.68,1,1
33,F,Comunicación Social,4,16,63.2,Canvas,1.68,0,1
29,F,Derecho,4,18,58.0,Moodle,1.91,1,1
20,M,Enfermería,7,23,65.8,Moodle,2.36,0,1
26,M,Mercadotecnia,6,13,65.2,Blackboard,1.7,1,0
19,M,Derecho,4,7,75.9,Canvas,2.05,0,1
25,F,Medicina,5,29,61.6,Blackboard,2.21,1,1
29,M,Ingeniería Industrial,7,25,85.5,Zoom,3.45,1,1
34,M,Mercadotecnia,4,10,87.7,Moodle,2.48,1,1
31,M,Derecho,8,18,58.9,Moodle,2.08,0,1
20,M,Medicina,5,25,68.7,Canvas,3.34,0,1
31,M,Contaduría Pública,4,23,70.2,Moodle,2.33,0,1
18,F,Enfermería,5,21,75.5,Zoom,2.63,0,1
31,M,Enfermería,5,16,94.2,Zoom,2.66,1,1
24,F,Comunicación Social,6,30,95.1,Zoom,3.47,0,0
24,M,Turismo,5,19,100.0,Google Classroom,3.29,1,1
33,F,Medicina,6,14,44.0,Zoom,1.67,0,1
28,F,Ingeniería en Sistemas,7,24,64.1,Zoom,2.66,0,1
35,F,Contaduría Pública,6,18,100.0,Google Classroom,2.63,0,1
26,F,Ingeniería Industrial,8,20,51.0,Blackboard,1.85,1,1
25,M,Psicología,4,19,100.0,Microsoft Teams,3.34,1,1
21,M,Derecho,7,21,80.2,Moodle,2.72,0,1
22,F,Contaduría Pública,7,11,80.8,Zoom,2.18,0,1
18,No binario,Medicina,8,7,58.8,Moodle,1.5,1,1
29,F,Arquitectura,6,28,71.2,Canvas,2.96,1,1
22,F,Derecho,4,19,100.0,Moodle,2.61,0,1
21,F,Administración de Empresas,6,23,77.3,Blackboard,2.25,1,1
17,F,Enfermería,5,5,71.3,Google Classroom,1.68,0,1
22,M,Turismo,6,25,84.1,Moodle,2.07,1,1
22,F,Medicina,7,14,75.1,Moodle,2.31,0,1
32,F,Ingeniería Industrial,4,12,83.2,Moodle,2.31,0,1
20,M,Administración de Empresas,6,17,65.3,Microsoft Teams,1.96,0,1
27,F,Comunicación Social,4,11,76.8,Microsoft Teams,1.95,1,0
25,M,Mercadotecnia,4,17,68.4,Canvas,2.09,1,1
19,F,Psicología,5,17,50.9,Google Classroom,1.54,0,1
35,M,Psicología,5,25,85.2,Moodle,2.87,0,1
24,F,Administración de Empresas,7,28,59.5,Moodle,2.36,0,1
21,F,Enfermería,8,28,75.5,Moodle,2.79,0,1
20,M,Comunicación Social,4,3,91.9,Moodle,1.92,0,1
22,F,Arquitectura,8,11,55.5,Microsoft Teams,1.5,0,1
18,F,Enfermería,7,3,87.1,Blackboard,1.96,0,0
27,F,Contaduría Pública,4,9,73.5,Blackboard,2.1,1,1
20,M,Turismo,4,13,63.5,Canvas,1.69,0,1
31,M,Psicología,8,20,100.0,Zoom,3.01,1,1
22,M,Contaduría Pública,6,14,78.0,Google Classroom,2.34,1,1
33,No binario,Ingeniería Industrial,5,14,69.5,Blackboard,1.63,1,1
22,F,Derecho,6,19,66.3,Moodle,2.46,1,1
35,F,Ingeniería en Sistemas,8,6,91.2,Blackboard,2.71,0,1
18,F,Medicina,5,12,68.8,Canvas,1.88,1,1
31,F,Comunicación Social,6,14,89.3,Zoom,2.36,1,1
27,F,Enfermería,5,16,78.0,Blackboard,2.21,1,1
24,M,Psicología,4,18,94.7,Canvas,2.88,1,0
35,F,Contaduría Pública,6,28,62.4,Microsoft Teams,2.65,1,1
29,M,Mercadotecnia,5,24,64.5,Zoom,1.88,0,1
28,F,Turismo,5,12,73.8,Canvas,1.75,1,1
21,F,Turismo,5,16,75.0,Blackboard,2.36,0,1
22,F,Derecho,6,15,72.7,Microsoft Teams,2.08,0,1
20,M,Medicina,7,14,100.0,Canvas,2.27,0,1
35,M,Medicina,6,19,100.0,Canvas,3.29,1,1
17,M,Turismo,8,4,82.5,Blackboard,1.59,1,1
33,M,Turismo,6,24,84.3,Zoom,2.76,0,1
28,M,Enfermería,5,29,74.5,Microsoft Teams,2.73,1,1
31,F,Comunicación Social,4,16,62.3,Moodle,1.63,0,1
17,F,Arquitectura,6,15,75.3,Google Classroom,2.23,0,1
30,M,Ingeniería Industrial,6,19,89.6,Zoom,2.75,0,0
22,M,Mercadotecnia,5,25,97.6,Microsoft Teams,2.92,0,1
21,M,Ingeniería Industrial,4,15,92.9,Canvas,2.42,0,0
27,F,Enfermería,4,24,55.4,Microsoft Teams,2.35,1,1
20,F,Contaduría Pública,8,21,73.7,Google Classroom,1.81,0,1
29,F,Ingeniería en Sistemas,6,34,56.0,Blackboard,2.38,1,1
27,F,Turismo,4,15,95.5,Google Classroom,2.64,1,1
19,No binario,Administración de Empresas,4,4,71.8,Moodle,1.5,0,1
17,F,Arquitectura,7,7,77.3,Moodle,1.69,0,1
22,M,Comunicación Social,7,18,85.2,Google Classroom,2.77,0,1
34,F,Derecho,4,25,100.0,Zoom,2.92,0,0
26,M,Arquitectura,8,13,82.0,Zoom,2.81,1,1
21,F,Turismo,4,16,74.4,Canvas,1.67,0,1
26,M,Psicología,5,22,59.4,Moodle,1.5,0,1
28,F,Comunicación Social,6,11,99.9,Canvas,2.75,1,1
18,F,Ingeniería en Sistemas,8,13,75.3,Moodle,1.79,0,1
29,F,Psicología,5,9,100.0,Google Classroom,2.11,1,1
24,F,Arquitectura,8,26,94.6,Zoom,3.34,0,1
18,M,Administración de Empresas,5,28,71.1,Zoom,2.52,1,1
17,M,Administración de Empresas,6,6,57.1,Google Classroom,1.68,0,1
21,M,Ingeniería en Sistemas,6,17,82.1,Canvas,2.21,0,0
25,M,Medicina,7,27,68.8,Canvas,2.68,1,1
33,F,Mercadotecnia,5,20,78.6,Microsoft Teams,2.31,1,1
25,M,Turismo,7,14,93.7,Moodle,2.22,1,1
27,No binario,Derecho,5,7,53.2,Canvas,1.89,1,0
31,F,Turismo,7,26,82.0,Google Classroom,3.13,0,1
22,F,Medicina,6,20,89.4,Canvas,2.46,1,1
19,M,Ingeniería Industrial,8,7,90.1,Zoom,2.06,1,0
33,F,Ingeniería Industrial,7,26,57.5,Moodle,2.75,0,0
21,F,Ingeniería Industrial,5,6,84.3,Blackboard,1.66,0,1
28,F,Administración de Empresas,5,16,96.1,Microsoft Teams,2.35,1,1
34,F,Administración de Empresas,6,16,83.1,Moodle,2.51,1,1
30,F,Contaduría Pública,5,29,76.3,Zoom,3.5,1,1
27,M,Psicología,4,16,95.1,Zoom,2.63,0,1
25,F,Arquitectura,8,16,67.6,Zoom,2.38,1,1
